lot_id	wafer_id	hold	date	product_id	hold_type
SN66Q8N	11	PIE HOLD	3/20/2022 0:00	UX2M	Map
SN35H8M	22	PIE HOLD	2/18/2022 0:00	KELK	Map
SN15JMV	15	DISPO	3/25/2022 0:00	UMXS	Map
SN10HXO	1	PIE HOLD	3/9/2023 0:00	DTLS	SBL
SN23AF0	1	DISPO	4/5/2023 0:00	UMXS	Map
SN79ZSC	4	QA HOLD	3/21/2022 0:00	KELK	Map
SN82LOO	25	PIE HOLD	12/6/2022 0:00	UMXS	SBL
SN44LKO	7	PE HOLD	6/15/2022 0:00	SLFU	SBL
SN41FUF	18	PIE HOLD	2/10/2022 0:00	SFSK	Map
SN79GIU	21	PIE HOLD	2/3/2022 0:00	UFLU	Map
SN58VPB	11	PIE HOLD	4/24/2022 0:00	XLFU	Map
SN38YQX	19	PIE HOLD	9/26/2022 0:00	DTLS	SBL
SN21S2O	3	PIE HOLD	4/16/2023 0:00	BLUD	SBL
SN99LRP	15	PE HOLD	12/8/2022 0:00	DTLS	Map
SN88EDF	16	PE HOLD	5/7/2023 0:00	UFLU	Map
SN40BC3	19	DISPO	7/14/2022 0:00	KSLE	Map
SN53ZH5	6	PIE HOLD	11/13/2022 0:00	BLUD	Map
SN22OED	22	DISPO	10/29/2022 0:00	KEKS	Map
SN54BD5	19	DISPO	9/7/2022 0:00	KSLE	SBL
SN72FAN	10	DISPO	11/13/2022 0:00	KELK	SBL
SN20CKW	5	QA HOLD	3/18/2022 0:00	IEKW	SBL
SN46IPW	23	PE HOLD	12/18/2022 0:00	KSDL	Map
SN47TYT	11	QA HOLD	3/17/2023 0:00	KELK	Map
SN68OYI	10	PE HOLD	3/11/2022 0:00	KDSD	SBL
SN47Y3X	6	DISPO	12/8/2022 0:00	KELK	Map
SN57P21	6	QA HOLD	5/25/2023 0:00	KSLE	SBL
SN87PE2	1	QA HOLD	1/3/2023 0:00	XLFU	SBL
SN77D85	20	PE HOLD	5/31/2022 0:00	DTLS	Map
SN92TD1	21	PE HOLD	5/6/2023 0:00	KSLE	Map
SN79MGF	6	PIE HOLD	9/19/2022 0:00	SFSK	SBL
SN77URF	21	PE HOLD	1/26/2022 0:00	KSLE	SBL
SN49ZUH	16	DISPO	2/1/2023 0:00	BLUD	SBL
SN89UQB	23	DISPO	6/8/2022 0:00	KEKS	SBL
SN21NTM	5	PE HOLD	1/11/2023 0:00	UFLU	Map
SN34EJY	15	PE HOLD	12/13/2022 0:00	IEKW	SBL
SN45GIW	15	DISPO	5/29/2022 0:00	XLFU	SBL
SN70Z1A	15	PE HOLD	8/2/2022 0:00	DTLS	Map
SN59J8Z	18	PE HOLD	9/30/2022 0:00	KELK	Map
SN92GRD	16	QA HOLD	1/26/2023 0:00	KELK	Map
SN73SIZ	7	DISPO	6/6/2022 0:00	IEKW	SBL
SN49CS3	4	PIE HOLD	9/18/2022 0:00	KDSD	Map
SN41Q5A	4	PE HOLD	12/5/2022 0:00	BLUD	SBL
SN42L9N	23	PE HOLD	5/7/2022 0:00	DTLS	SBL
SN42SFK	6	QA HOLD	9/18/2022 0:00	IEKW	SBL
SN13Y9Z	12	PIE HOLD	2/27/2023 0:00	UMXS	Map
SN10KH0	20	PIE HOLD	3/7/2023 0:00	KELK	SBL
SN92SZV	3	DISPO	7/25/2022 0:00	SLFU	SBL
SN96NFU	4	QA HOLD	12/5/2022 0:00	KSLE	SBL
SN59HFR	15	DISPO	5/29/2022 0:00	KSDL	Map
SN11XZK	16	PE HOLD	6/28/2022 0:00	SLFU	Map
SN37BD8	11	QA HOLD	3/8/2022 0:00	IEKW	Map
SN76DRA	1	PE HOLD	7/18/2022 0:00	KSDL	SBL
SN78LH0	20	PIE HOLD	4/23/2023 0:00	UMXS	Map
SN68XMV	7	QA HOLD	1/14/2023 0:00	BLUD	Map
SN79CFR	20	QA HOLD	12/25/2022 0:00	KEKS	Map
SN25QZ6	3	PIE HOLD	2/25/2023 0:00	UMXS	SBL
SN25JSS	5	QA HOLD	7/20/2022 0:00	SFSK	SBL
SN96CCW	10	QA HOLD	5/16/2023 0:00	KELK	Map
SN85SZ6	17	QA HOLD	2/3/2022 0:00	KSDL	Map
SN34G86	25	QA HOLD	1/19/2022 0:00	UMXS	Map
SN14Y73	8	QA HOLD	5/7/2023 0:00	KELK	SBL
SN92VDO	19	QA HOLD	10/20/2022 0:00	DTLS	SBL
SN30G7Q	12	DISPO	1/17/2022 0:00	UX2M	SBL
SN42WDY	5	DISPO	3/4/2023 0:00	KSLE	SBL
SN65GN3	1	PIE HOLD	10/7/2022 0:00	KELK	Map
SN83JS2	22	DISPO	3/20/2023 0:00	KELK	Map
SN87PUK	11	QA HOLD	3/4/2022 0:00	DTLS	SBL
SN47I1V	17	QA HOLD	2/10/2022 0:00	KELK	SBL
SN80SRD	7	PIE HOLD	5/11/2023 0:00	KEKS	Map
SN76COZ	6	QA HOLD	11/1/2022 0:00	UMXS	SBL
SN34H97	17	PIE HOLD	2/5/2022 0:00	KELK	SBL
SN43BMH	14	DISPO	1/11/2022 0:00	UX2M	SBL
SN77NJK	11	DISPO	5/29/2022 0:00	UX2M	Map
SN67FBQ	13	PE HOLD	12/14/2022 0:00	BLUD	Map
SN44IH2	2	QA HOLD	8/1/2022 0:00	UFLU	Map
SN21L13	5	PE HOLD	6/15/2022 0:00	KDSD	SBL
SN62IR2	19	QA HOLD	2/12/2023 0:00	IEKW	SBL
SN66RAA	10	PE HOLD	1/20/2023 0:00	UMXS	Map
SN33M75	9	PE HOLD	3/25/2023 0:00	KSDL	SBL
SN21EDS	5	QA HOLD	8/23/2022 0:00	KDSD	SBL
SN83FS0	3	DISPO	9/1/2022 0:00	BLUD	Map
SN67UGS	9	PIE HOLD	3/14/2023 0:00	UFLU	SBL
SN14HFS	18	PIE HOLD	10/12/2022 0:00	UMXS	Map
SN57CE0	6	QA HOLD	3/17/2023 0:00	UMXS	SBL
SN80SN3	14	PIE HOLD	12/18/2022 0:00	IEKW	SBL
SN90WYD	15	DISPO	8/5/2022 0:00	KELK	SBL
SN69A5A	6	PIE HOLD	1/24/2023 0:00	UFLU	Map
SN40G5Z	10	DISPO	11/16/2022 0:00	KELK	Map
SN46X12	3	PE HOLD	3/5/2023 0:00	KSLE	Map
SN55EUI	21	QA HOLD	4/2/2022 0:00	SFSK	Map
SN55WY2	1	QA HOLD	10/4/2022 0:00	KSLE	Map
SN81L75	1	DISPO	1/10/2023 0:00	IEKW	Map
SN83Z89	8	DISPO	7/9/2022 0:00	IEKW	Map
SN33BWG	13	PE HOLD	10/9/2022 0:00	UFLU	Map
SN35XRW	18	QA HOLD	2/18/2022 0:00	UFLU	Map
SN91HOS	3	PE HOLD	4/10/2023 0:00	KSDL	SBL
SN72VHH	21	PIE HOLD	7/7/2022 0:00	XLFU	SBL
SN74PCX	11	PIE HOLD	10/28/2022 0:00	KEKS	SBL
SN58GBX	9	PE HOLD	8/27/2022 0:00	UFLU	Map
SN48RNI	18	QA HOLD	10/29/2022 0:00	UMXS	SBL
SN63M8G	11	QA HOLD	4/5/2023 0:00	KELK	Map
SN33OO9	19	QA HOLD	4/28/2022 0:00	KSDL	SBL
SN38S9Z	15	DISPO	12/20/2022 0:00	DTLS	SBL
SN64Y22	4	DISPO	4/6/2022 0:00	SLFU	SBL
SN28DXX	18	QA HOLD	6/23/2022 0:00	KDSD	Map
SN73C62	25	DISPO	2/27/2022 0:00	UFLU	Map
SN20TRE	4	QA HOLD	1/1/2023 0:00	KELK	Map
SN55NT1	25	DISPO	1/16/2022 0:00	KEKS	Map
SN21UIE	3	PIE HOLD	1/2/2022 0:00	IEKW	Map
SN87F27	23	PE HOLD	1/17/2023 0:00	IEKW	SBL
SN40M4W	23	DISPO	3/29/2022 0:00	SLFU	Map
SN80CRV	8	PE HOLD	3/31/2022 0:00	DTLS	SBL
SN40EUK	16	QA HOLD	10/21/2022 0:00	SLFU	Map
SN41GCM	17	DISPO	2/4/2022 0:00	KDSD	SBL
SN10Y6L	6	DISPO	3/6/2023 0:00	UMXS	SBL
SN31G63	17	PE HOLD	5/19/2022 0:00	KEKS	Map
SN82IO6	3	PE HOLD	8/1/2022 0:00	KDSD	Map
SN31DPF	9	PE HOLD	8/10/2022 0:00	KEKS	SBL
SN10WP9	11	DISPO	3/27/2022 0:00	KSDL	SBL
SN80TVD	4	PE HOLD	6/18/2022 0:00	IEKW	SBL
SN63JSL	8	DISPO	2/17/2023 0:00	SLFU	SBL
SN72LUE	5	QA HOLD	1/30/2022 0:00	SLFU	Map
SN71UHT	10	PE HOLD	4/18/2022 0:00	KSLE	SBL
SN31ALY	9	PE HOLD	1/4/2022 0:00	DTLS	SBL
SN87NOJ	21	PIE HOLD	7/6/2022 0:00	KSLE	Map
SN58SH2	1	PIE HOLD	1/24/2023 0:00	SLFU	Map
SN37PF7	7	PE HOLD	7/19/2022 0:00	KDSD	Map
SN74GWE	9	PIE HOLD	9/11/2022 0:00	KSDL	Map
SN41LSN	24	DISPO	12/17/2022 0:00	KEKS	SBL
SN76L9X	10	PE HOLD	4/25/2022 0:00	BLUD	SBL
SN67UZS	13	DISPO	11/10/2022 0:00	UX2M	SBL
SN55S8A	4	PE HOLD	9/27/2022 0:00	KEKS	Map
SN18Q7N	15	QA HOLD	4/1/2023 0:00	KELK	Map
SN51FFZ	12	PE HOLD	9/20/2022 0:00	KDSD	SBL
SN88L6E	23	DISPO	3/22/2023 0:00	KEKS	Map
SN40LNV	16	QA HOLD	2/26/2023 0:00	SLFU	SBL
SN89EXC	22	PIE HOLD	2/26/2022 0:00	SLFU	SBL
SN12CR5	14	PE HOLD	3/30/2022 0:00	BLUD	SBL
SN81DUY	20	PIE HOLD	3/21/2023 0:00	IEKW	Map
SN67INE	24	PIE HOLD	2/25/2022 0:00	XLFU	Map
SN95W8K	17	QA HOLD	8/23/2022 0:00	DTLS	SBL
SN13ONA	17	QA HOLD	10/13/2022 0:00	DTLS	Map
SN83QHF	18	PE HOLD	3/9/2022 0:00	DTLS	SBL
SN53NTJ	10	PIE HOLD	4/21/2022 0:00	KSDL	Map
SN30DOX	25	PIE HOLD	11/6/2022 0:00	UMXS	Map
SN81KKQ	6	QA HOLD	1/19/2022 0:00	KSDL	SBL
SN65TEA	1	QA HOLD	3/30/2022 0:00	KEKS	Map
SN88QOT	18	PE HOLD	11/26/2022 0:00	SFSK	SBL
SN26Y4K	14	DISPO	10/28/2022 0:00	KSLE	Map
SN19TDG	22	PIE HOLD	8/15/2022 0:00	KSDL	Map
SN95S8H	6	PE HOLD	6/13/2022 0:00	SLFU	Map
SN91U49	2	QA HOLD	3/25/2022 0:00	XLFU	SBL
SN37IRZ	14	PIE HOLD	11/25/2022 0:00	XLFU	Map
SN74NOL	18	DISPO	3/13/2022 0:00	IEKW	Map
SN83HL7	14	PE HOLD	2/6/2022 0:00	DTLS	Map
SN92JWQ	11	QA HOLD	2/1/2023 0:00	IEKW	Map
SN31BXI	21	QA HOLD	3/27/2022 0:00	UMXS	Map
SN63DUG	7	DISPO	8/2/2022 0:00	DTLS	SBL
SN70Z1R	10	PE HOLD	3/20/2023 0:00	KSDL	SBL
SN83AJ9	12	DISPO	11/15/2022 0:00	DTLS	SBL
SN22NXM	9	DISPO	12/17/2022 0:00	UX2M	Map
SN81ZWE	3	QA HOLD	4/16/2022 0:00	DTLS	Map
SN70PS2	3	PIE HOLD	11/14/2022 0:00	UX2M	Map
SN69WP6	12	PE HOLD	8/17/2022 0:00	XLFU	Map
SN86DVR	13	DISPO	8/20/2022 0:00	UX2M	SBL
SN65E4X	23	DISPO	8/1/2022 0:00	BLUD	Map
SN81ZO5	15	QA HOLD	11/8/2022 0:00	DTLS	Map
SN41YNM	23	QA HOLD	1/12/2023 0:00	SLFU	SBL
SN26FIP	9	PIE HOLD	8/29/2022 0:00	XLFU	SBL
SN61DWP	21	PE HOLD	12/26/2022 0:00	KEKS	Map
SN53ARN	10	DISPO	1/10/2023 0:00	UMXS	Map
SN57BCU	2	QA HOLD	12/17/2022 0:00	BLUD	Map
SN57O1N	2	DISPO	2/10/2023 0:00	BLUD	Map
SN39FEQ	23	PIE HOLD	4/20/2023 0:00	KSDL	Map
SN47C4U	6	DISPO	7/4/2022 0:00	BLUD	Map
SN85FT0	2	PIE HOLD	4/16/2022 0:00	UX2M	SBL
SN61OKK	18	QA HOLD	6/11/2022 0:00	KELK	SBL
SN76TVW	11	PIE HOLD	5/24/2023 0:00	IEKW	SBL
SN87W1C	6	PE HOLD	5/13/2022 0:00	SLFU	Map
SN13AF0	4	PIE HOLD	2/16/2023 0:00	KSDL	Map
SN71RVM	1	PIE HOLD	11/11/2022 0:00	UFLU	Map
SN11OJA	25	QA HOLD	3/24/2022 0:00	KEKS	Map
SN34D3N	9	QA HOLD	1/1/2023 0:00	XLFU	Map
SN60CNS	18	PIE HOLD	2/19/2023 0:00	SFSK	Map
SN81BYT	5	PIE HOLD	3/19/2022 0:00	SLFU	Map
SN95LWX	7	PE HOLD	5/26/2022 0:00	IEKW	Map
SN41C2L	21	DISPO	3/10/2023 0:00	KEKS	Map
SN46C4V	14	PE HOLD	3/5/2023 0:00	UMXS	Map
SN25EPL	24	DISPO	2/28/2022 0:00	UX2M	Map
SN96FS0	11	PIE HOLD	2/18/2023 0:00	UFLU	Map
SN49VFR	9	PE HOLD	4/1/2022 0:00	SLFU	Map
SN40SMV	6	PIE HOLD	1/7/2022 0:00	UMXS	Map
SN61BQ0	9	PE HOLD	6/3/2022 0:00	KDSD	SBL
SN11VGW	21	PE HOLD	9/7/2022 0:00	SLFU	SBL
SN54WRT	6	PIE HOLD	1/25/2023 0:00	KSLE	SBL
SN77XC4	16	DISPO	3/24/2023 0:00	KSLE	SBL
SN69WUL	15	PE HOLD	6/5/2023 0:00	KELK	Map
SN36IWS	17	DISPO	2/1/2023 0:00	UX2M	SBL
SN14XGQ	12	PIE HOLD	3/29/2022 0:00	KSLE	SBL
SN39Y19	17	QA HOLD	7/6/2022 0:00	KELK	SBL
SN30PUP	24	QA HOLD	5/19/2022 0:00	UX2M	SBL
SN45RUC	17	QA HOLD	6/3/2022 0:00	IEKW	Map
SN16MU6	4	QA HOLD	3/2/2022 0:00	KDSD	SBL
SN44EK0	10	PE HOLD	8/23/2022 0:00	IEKW	Map
SN28F4O	13	PIE HOLD	10/28/2022 0:00	KELK	Map
SN63ZTU	11	PE HOLD	1/14/2022 0:00	SLFU	Map
SN33Z7P	5	PIE HOLD	9/16/2022 0:00	KEKS	SBL
SN73YA8	1	PIE HOLD	1/25/2023 0:00	UMXS	SBL
SN87WLL	2	PIE HOLD	10/18/2022 0:00	DTLS	SBL
SN52PRY	16	PE HOLD	4/27/2022 0:00	SFSK	Map
SN13VKB	20	DISPO	1/15/2022 0:00	SFSK	Map
SN61U15	12	PIE HOLD	1/30/2023 0:00	KSDL	SBL
SN11ZWE	10	DISPO	6/25/2022 0:00	DTLS	Map
SN50Z83	24	DISPO	6/3/2023 0:00	KSDL	Map
SN18RUT	7	DISPO	1/17/2022 0:00	KELK	Map
SN32FJI	16	PIE HOLD	11/28/2022 0:00	IEKW	Map
SN95UFC	20	PE HOLD	5/15/2023 0:00	KSLE	Map
SN60K9O	12	PIE HOLD	10/2/2022 0:00	KEKS	SBL
SN71RM4	10	PIE HOLD	10/31/2022 0:00	KSDL	Map
SN86W5K	13	DISPO	2/13/2023 0:00	KDSD	Map
SN97UF5	3	QA HOLD	11/9/2022 0:00	IEKW	Map
SN15Y3L	23	PE HOLD	10/27/2022 0:00	KSDL	SBL
SN99ZP1	1	PE HOLD	4/1/2022 0:00	KDSD	SBL
SN81IFT	5	PIE HOLD	1/19/2022 0:00	KDSD	Map
SN82X95	11	DISPO	6/10/2022 0:00	KSDL	Map
SN77SYV	16	QA HOLD	4/30/2023 0:00	UMXS	Map
SN64LRM	14	PIE HOLD	3/3/2023 0:00	KDSD	Map
SN34AZU	25	PIE HOLD	5/14/2022 0:00	DTLS	SBL
SN65RB4	9	PIE HOLD	7/16/2022 0:00	KSLE	Map
SN59VL2	1	DISPO	11/12/2022 0:00	KSDL	SBL
SN80MA1	12	QA HOLD	3/23/2023 0:00	XLFU	Map
SN27A1J	12	PE HOLD	3/20/2023 0:00	KEKS	Map
SN62CVX	19	DISPO	1/22/2022 0:00	KDSD	SBL
SN76C9B	21	PIE HOLD	8/18/2022 0:00	BLUD	Map
SN96B9S	7	QA HOLD	4/22/2022 0:00	UFLU	Map
SN16NDD	3	PE HOLD	2/26/2022 0:00	XLFU	Map
SN77R4K	3	DISPO	2/9/2022 0:00	XLFU	Map
SN40Q0M	18	PIE HOLD	8/18/2022 0:00	KEKS	Map
SN89CHN	2	PIE HOLD	3/1/2023 0:00	UX2M	Map
SN44IUQ	8	QA HOLD	10/10/2022 0:00	DTLS	SBL
SN27AEP	8	DISPO	8/2/2022 0:00	KELK	Map
SN99QGZ	23	QA HOLD	3/5/2022 0:00	BLUD	Map
SN57PJY	11	PIE HOLD	8/9/2022 0:00	DTLS	SBL
SN63G9M	12	PIE HOLD	1/6/2023 0:00	UFLU	Map
SN56CLI	1	DISPO	7/26/2022 0:00	UX2M	SBL
SN81L8M	16	QA HOLD	1/7/2023 0:00	XLFU	Map
SN43OXX	19	QA HOLD	5/6/2023 0:00	UX2M	Map
SN21PB8	16	QA HOLD	3/30/2022 0:00	UMXS	Map
SN93OJE	25	PIE HOLD	3/30/2023 0:00	SLFU	Map
SN51LUV	20	PE HOLD	5/30/2023 0:00	KEKS	SBL
SN44M3T	6	PE HOLD	8/7/2022 0:00	XLFU	Map
SN61R8J	7	PE HOLD	1/21/2022 0:00	KEKS	SBL
SN96K8C	10	PE HOLD	5/10/2023 0:00	UMXS	Map
SN43WCW	9	PIE HOLD	2/23/2023 0:00	IEKW	Map
SN98CJI	10	PE HOLD	5/1/2023 0:00	IEKW	Map
SN46B1W	13	DISPO	9/18/2022 0:00	KSDL	SBL
SN27PWS	9	DISPO	2/11/2022 0:00	SLFU	Map
SN44TPU	7	QA HOLD	4/27/2023 0:00	KSDL	Map
SN54B1I	14	PIE HOLD	12/13/2022 0:00	SFSK	Map
SN62IR1	6	PE HOLD	4/17/2022 0:00	KEKS	SBL
SN75ITY	23	QA HOLD	2/5/2022 0:00	UMXS	Map
SN61ZUB	24	QA HOLD	5/24/2022 0:00	BLUD	SBL
SN19VTQ	19	QA HOLD	12/18/2022 0:00	SLFU	SBL
SN13AH4	12	PE HOLD	12/30/2022 0:00	IEKW	Map
SN52ATD	16	DISPO	7/29/2022 0:00	KDSD	Map
SN60ETP	13	PIE HOLD	8/1/2022 0:00	KELK	SBL
SN48JJM	23	PIE HOLD	6/5/2022 0:00	KEKS	SBL
SN34TTO	18	PIE HOLD	10/19/2022 0:00	SFSK	SBL
SN17MX6	18	DISPO	3/13/2023 0:00	UMXS	Map
